カテゴリ,iam,メモ、備考,優先度,商社,メーカー,メーカー型番,商社品名,注文コード,数量,単価,小計
機械,機体,,,,amazon,,ステンレス蝶番 ドアヒンジ 4‘’x3‘’ 厚さ3mm平蝶番 折り畳みヒンジ ドア用金物 家具補修 ステンレス鋼ねじ付き シルバー （2個セット ）,https://www.amazon.co.jp/%E3%82%B9%E3%83%86%E3%83%B3%E3%83%AC%E3%82%B9%E8%9D%B6%E7%95%AA-4%E2%80%98%E2%80%99x3%E2%80%98%E2%80%99-%E5%8E%9A%E3%81%953mm%E5%B9%B3%E8%9D%B6%E7%95%AA-%E6%8A%98%E3%82%8A%E7%95%B3%E3%81%BF%E3%83%92%E3%83%B3%E3%82%B8-%E3%82%B9%E3%83%86%E3%83%B3%E3%83%AC%E3%82%B9%E9%8B%BC%E3%81%AD%E3%81%98%E4%BB%98%E3%81%8D/dp/B095P3895C/ref=sr_1_48?__mk_ja_JP=%E3%82%AB%E3%82%BF%E3%82%AB%E3%83%8A&dchild=1&keywords=%E8%9D%B6%E7%95%AA&qid=1623652769&sr=8-48,1,,
機械,機体,,,,amazon,銅カットワイヤと100均箱で代用,アスベル 保存容器 「Agタイトロック」 TLO-20 ナチュラル,https://www.amazon.co.jp/%E3%82%A2%E3%82%B9%E3%83%99%E3%83%AB-%E4%BF%9D%E5%AD%98%E5%AE%B9%E5%99%A8-%E3%80%8CAg%E3%82%BF%E3%82%A4%E3%83%88%E3%83%AD%E3%83%83%E3%82%AF%E3%80%8D-TLO-20/dp/B001UJCXDC/ref=sr_1_2?__mk_ja_JP=%E3%82%AB%E3%82%BF%E3%82%AB%E3%83%8A&dchild=1&keywords=%E3%82%BF%E3%83%83%E3%83%91%E3%83%BC+590&qid=1623652545&sr=8-2,2,,
機械,機体,,,,amazon,60Kg二軸サーボ 教育娯楽ロボットサーボ スマートロボットサーボ (180°),60Kg二軸サーボ 教育娯楽ロボットサーボ スマートロボットサーボ (180°),https://www.amazon.co.jp/%E3%82%BE%E3%83%BC%E3%82%B9%E3%82%AB%E3%82%A4-60Kg%E4%BA%8C%E8%BB%B8%E3%82%B5%E3%83%BC%E3%83%9C-%E6%95%99%E8%82%B2%E5%A8%AF%E6%A5%BD%E3%83%AD%E3%83%9C%E3%83%83%E3%83%88%E3%82%B5%E3%83%BC%E3%83%9C-%E3%82%B9%E3%83%9E%E3%83%BC%E3%83%88%E3%83%AD%E3%83%9C%E3%83%83%E3%83%88%E3%82%B5%E3%83%BC%E3%83%9C-180%C2%B0/dp/B082FBQ1L4/ref=sr_1_37?dchild=1&keywords=%E3%82%B5%E3%83%BC%E3%83%9C%E3%83%A2%E3%83%BC%E3%82%BF%E3%83%BC&qid=1623380250&sr=8-37,2,,
機械,フレーム,,,1,misumi,HFS5-2020-800,高剛性フレーム,https://jp.misumi-ec.com/vona2/detail/110302683830/?HissuCode=HFS5-2020-800&PNSearch=HFS5-2020-800&KWSearch=HFS5-2020-800&searchFlow=results2products,4,,
機械,フレーム,,,1,misumi,HFS5-2020-300,高剛性フレーム,https://jp.misumi-ec.com/vona2/detail/110302683830/?HissuCode=HFS5-2020-300&PNSearch=HFS5-2020-300&KWSearch=HFS5-2020-300&searchFlow=results2products,2,,
機械,フレーム,,,1,misumi,HFS5-2020-716,高剛性フレーム,https://jp.misumi-ec.com/vona2/detail/110302683830/?HissuCode=HFS5-2020-716&PNSearch=HFS5-2020-716&KWSearch=HFS5-2020-716&searchFlow=results2products,2,,
機械,フレーム,,,1,misumi,HFS5-2020-500,高剛性フレーム,https://jp.misumi-ec.com/vona2/detail/110302683830/?HissuCode=HFS5-2020-500&PNSearch=HFS5-2020-500&KWSearch=HFS5-2020-500&searchFlow=results2products,2,,
機械,フレーム,,,1,misumi,HFS5-2020-600,高剛性フレーム,https://jp.misumi-ec.com/vona2/detail/110302683830/?HissuCode=HFS5-2020-600&PNSearch=HFS5-2020-600&KWSearch=HFS5-2020-600&searchFlow=results2products,2,,
機械,フレーム,,,1,misumi,HFS5-2020-400,高剛性フレーム,https://jp.misumi-ec.com/vona2/detail/110302683830/?HissuCode=HFS5-2020-400&PNSearch=HFS5-2020-400&KWSearch=HFS5-2020-400&searchFlow=results2products,10,,
機械,フレーム,,,1,misumi,HBLFSN5-SEP,ブラケット2,https://jp.misumi-ec.com/vona2/detail/110300437260/?HissuCode=HBLFSN5-SEP&PNSearch=HBLFSN5-SEP&KWSearch=HBLFSN5-SEP&searchFlow=results2products,54,,
機械,フレーム,,,1,misumi,HFS5-2020-230,高剛性フレーム,https://jp.misumi-ec.com/vona2/detail/110302683830/?HissuCode=HFS5-2020-230&PNSearch=HFS5-2020-230&KWSearch=HFS5-2020-230&searchFlow=results2products,2,,
機械,フレーム,,,1,misumi,HFS5-2020-150,高剛性フレーム,https://jp.misumi-ec.com/vona2/detail/110302683830/?HissuCode=HFS5-2020-150&PNSearch=HFS5-2020-150&KWSearch=HFS5-2020-150&searchFlow=results2products,2,,
